Month	Province	Number of enrolled participants
2020-10	Chongqing	1
2020-11	Chongqing	31
2020-12	Chongqing	68
2021-01	Chongqing	60
2021-02	Chongqing	31
2021-03	Chongqing	43
2021-04	Chongqing	48
2021-05	Chongqing	86
2021-06	Chongqing	96
2021-07	Chongqing	94
2021-08	Chongqing	127
2021-08	Sichuan	73
2021-09	Chongqing	122
2021-09	Sichuan	145
2021-10	Chongqing	119
2021-10	Sichuan	189
2021-11	Chongqing	149
2021-11	Gansu	3
2021-11	Sichuan	315
2021-12	Chongqing	137
2021-12	Gansu	35
2021-12	Sichuan	345
2022-01	Chongqing	104
2022-01	Gansu	58
2022-01	Guizhou	1
2022-01	Sichuan	348
2022-02	Chongqing	71
2022-02	Gansu	36
2022-02	Guizhou	35
2022-02	Sichuan	289
2022-03	Chongqing	105
2022-03	Gansu	35
2022-03	Guizhou	66
2022-03	Qinghai	35
2022-03	Sichuan	306
2022-04	Chongqing	86
2022-04	Gansu	32
2022-04	Guizhou	59
2022-04	Qinghai	40
2022-04	Sichuan	221
2022-05	Chongqing	79
2022-05	Gansu	25
2022-05	Guizhou	37
2022-05	Qinghai	57
2022-05	Sichuan	236
2022-06	Chongqing	76
2022-06	Gansu	34
2022-06	Guizhou	70
2022-06	Qinghai	55
2022-06	Sichuan	248
2022-07	Chongqing	36
2022-07	Gansu	7
2022-07	Guizhou	58
2022-07	Qinghai	55
2022-07	Sichuan	189
2022-08	Chongqing	31
2022-08	Gansu	6
2022-08	Guizhou	82
2022-08	Qinghai	58
2022-08	Sichuan	182
2022-09	Chongqing	30
2022-09	Gansu	27
2022-09	Guizhou	5
2022-09	Qinghai	42
2022-09	Sichuan	133
2022-10	Chongqing	46
2022-10	Guizhou	31
2022-10	Qinghai	53
2022-10	Sichuan	144
2022-11	Chongqing	18
2022-11	Guizhou	59
2022-11	Sichuan	126
2022-12	Gansu	6
2022-12	Guizhou	20
2022-12	Sichuan	127
2023-01	Chongqing	27
2023-01	Gansu	65
2023-01	Guizhou	46
2023-01	Qinghai	11
2023-01	Sichuan	119
2023-02	Chongqing	34
2023-02	Gansu	105
2023-02	Guizhou	149
2023-02	Qinghai	40
2023-02	Sichuan	194
2023-03	Chongqing	49
2023-03	Gansu	125
2023-03	Guizhou	149
2023-03	Qinghai	52
2023-03	Sichuan	164
2023-04	Chongqing	53
2023-04	Gansu	178
2023-04	Guizhou	123
2023-04	Qinghai	39
2023-04	Sichuan	167
2023-05	Chongqing	67
2023-05	Gansu	134
2023-05	Guizhou	88
2023-05	Qinghai	72
2023-05	Sichuan	191
2023-06	Chongqing	82
2023-06	Gansu	133
2023-06	Guizhou	96
2023-06	Qinghai	48
2023-06	Sichuan	129
2023-07	Chongqing	32
2023-07	Gansu	115
2023-07	Guizhou	85
2023-07	Qinghai	43
2023-07	Sichuan	100
2023-08	Chongqing	31
2023-08	Gansu	109
2023-08	Guizhou	67
2023-08	Qinghai	44
2023-08	Sichuan	146
2023-09	Chongqing	25
2023-09	Gansu	97
2023-09	Guizhou	102
2023-09	Qinghai	49
2023-09	Sichuan	114
2023-10	Chongqing	4
2023-10	Gansu	132
2023-10	Guizhou	51
2023-10	Qinghai	39
2023-10	Sichuan	99
2023-11	Gansu	125
2023-11	Guizhou	56
2023-11	Qinghai	42
2023-11	Sichuan	93
2023-12	Gansu	115
2023-12	Guizhou	53
2023-12	Qinghai	38
2023-12	Sichuan	63
2024-01	Gansu	147
2024-01	Guizhou	56
2024-01	Qinghai	55
2024-01	Sichuan	55
2024-02	Gansu	109
2024-02	Guizhou	23
2024-02	Qinghai	28
2024-02	Sichuan	66
2024-03	Gansu	140
2024-03	Guizhou	54
2024-03	Qinghai	55
2024-03	Sichuan	68
2024-04	Gansu	150
2024-04	Guizhou	39
2024-04	Qinghai	30
2024-04	Sichuan	84
2024-05	Gansu	118
2024-05	Guizhou	29
2024-05	Qinghai	49
2024-05	Sichuan	78
2024-06	Gansu	82
2024-06	Guizhou	49
2024-06	Qinghai	17
2024-06	Sichuan	48
2024-07	Gansu	123
2024-07	Guizhou	53
2024-07	Qinghai	46
2024-07	Sichuan	56
2024-08	Chongqing	17
2024-08	Gansu	132
2024-08	Guizhou	33
2024-08	Qinghai	43
2024-08	Sichuan	46
2024-09	Chongqing	5
2024-09	Gansu	142
2024-09	Guizhou	29
2024-09	Qinghai	35
2024-09	Sichuan	32
2024-10	Chongqing	12
2024-10	Gansu	129
2024-10	Guizhou	16
2024-10	Qinghai	36
2024-10	Sichuan	43
2024-11	Chongqing	17
2024-11	Gansu	88
2024-11	Guizhou	17
2024-11	Qinghai	14
2024-11	Sichuan	63
2024-12	Chongqing	14
2024-12	Gansu	111
2024-12	Guizhou	25
2024-12	Qinghai	40
2024-12	Sichuan	59
2025-01	Chongqing	14
2025-01	Gansu	100
2025-01	Guizhou	22
2025-01	Qinghai	25
2025-01	Sichuan	35
2025-02	Chongqing	5
2025-02	Gansu	28
2025-02	Guizhou	3
2025-02	Qinghai	8
2025-02	Sichuan	18
